clarifier_pH_band,count,mean_clarifier_pH,avg_score,avg_NTU_9041,avg_NTU_9031,avg_pH_9041
"(0.499, 1.0]",307,0.9760336650355087,0.4890358632525813,0.8430764516421174,1.4738617662206923,7.4935210022941865
"(1.0, 1.5]",249,1.0690820397143384,0.4418560828276045,0.6942962746782954,1.8554875759714577,7.604985433738581
"(1.5, 2.0]",2160,1.8996684459014372,0.4908133863535272,0.6585085510931633,1.9701958677007092,9.413045555645068
"(2.0, 2.5]",20352,2.271552048408751,0.45871454944471024,0.6265788423771228,1.837441422668611,9.340105242789841
"(2.5, 3.0]",14879,2.71914466039795,0.39304154063813074,0.5287116252743427,1.5096412949951594,9.357682642962056
"(3.0, 3.5]",4304,3.2294502097656292,0.4143826807159874,0.6554592777082935,1.6782929429935574,8.892898748133705
"(3.5, 4.0]",4421,3.7627926978791706,0.39315416405541725,0.6384049347119212,1.517567448483886,8.738482332433215
"(4.0, 4.5]",4414,4.251168720193453,0.3594308174032584,0.5975531969923319,1.3112560355614686,8.543604714572446
"(4.5, 5.0]",7087,4.758714606166268,0.28417705087933554,0.4583344341451398,1.1586782957933275,8.330457228453055
"(5.0, 5.5]",6558,5.277668939942105,0.2962755114025974,0.49370306381713186,1.0938137340705618,7.76933243599771
"(5.5, 6.0]",4458,5.6398828628937405,0.2879928720523108,0.5270029875784511,0.7389354042779067,7.745692462971149
